<肖申克的救赎>
蒂姆·罗宾斯 Tim Robbins,演员 Actor (饰 安迪·杜佛兰 Andy Dufresne),肖申克的救赎,一九四二,黑水
摩根·弗里曼 Morgan Freeman,演员 Actor (饰 艾利斯·波伊德·“瑞德”·瑞丁 Ellis Boyd &#39;Red&#39; Redding),肖申克的救赎,蝙蝠侠：黑暗骑士,七宗罪
鲍勃·冈顿 Bob Gunton,演员 Actor (饰 监狱长山姆·诺顿 Warden Norton),肖申克的救赎,逃离德黑兰,死寂
威廉姆·赛德勒 William Sadler,演员 Actor (饰 海伍德 Heywood),肖申克的救赎,钢铁侠3,绿里奇迹
克兰西·布朗 Clancy Brown,演员 Actor (饰 上尉哈德利 Captain Hadley),肖申克的救赎,雷神3：诸神黄昏,魔兽
吉尔·贝罗斯 Gil Bellows,演员 Actor (饰 汤米 Tommy),肖申克的救赎,战略特勤组,在黑暗中讲述的恐怖故事
马克·罗斯顿 Mark Rolston,演员 Actor (饰 包格斯·戴蒙 Bogs Diamond),肖申克的救赎,决战中途岛,异形2
詹姆斯·惠特摩 James Whitmore,演员 Actor (饰 布鲁克斯·海特伦 Brooks Hatlen),肖申克的救赎,人猿星球,虎！虎！虎！
杰弗里·德曼 Jeffrey DeMunn,演员 Actor (饰 1946地方检察官 1946 D.A.),肖申克的救赎,绿里奇迹,迷雾
拉里·布兰登伯格 Larry Brandenburg,演员 Actor (饰 斯基特 Skeet),肖申克的救赎,冰血暴,铁面无私
尼尔·吉恩托利 Neil Giuntoli,演员 Actor (饰 基格 Jigger),肖申克的救赎,鬼娃回魂,犯罪现场调查：纽约 第一季
布赖恩·利比 Brian Libby,演员 Actor (饰 弗洛依德 Floyd),肖申克的救赎,绿里奇迹,迷雾
大卫·普罗瓦尔 David Proval,演员 Actor (饰 瞌睡虫 Snooze),肖申克的救赎,五路追杀令,黑道家族 第一季
约瑟夫·劳格诺 Joseph Ragno,演员 Actor (饰 厄尼 Ernie),肖申克的救赎,大佬,杰西卡·琼斯 第一季
祖德·塞克利拉 Jude Ciccolella,演员 Actor (饰 守卫梅特 Guard Mert),肖申克的救赎,幸福终点站,百万美元宝贝
保罗·麦克兰尼 Paul McCrane,演员 Actor (饰 守卫特劳特 Guard Trout),肖申克的救赎,千谎百计  第二季,豪斯医生 第一季
芮妮·布莱恩 Renee Blaine,演员 Actress (饰 安迪·杜佛兰的妻子 Andy Dufresne&#39;s Wife),肖申克的救赎
阿方索·弗里曼 Alfonso Freeman,演员 Actor (饰 新囚犯 Fresh Fish Con),肖申克的救赎,遗愿清单,鬼语者 第一季
V·J·福斯特 V.J. Foster,演员 Actor (饰 囚犯 Hungry Fish Con),肖申克的救赎,百万美元宝贝,夺宝奇兵4
弗兰克·梅德拉诺 Frank Medrano,演员 Actor (饰 肥仔 Fat Ass),肖申克的救赎,国家公敌,笨贼妙探
马克·迈尔斯 Mack Miles,演员 Actor (饰 蒂雷尔 Tyrell),肖申克的救赎
尼尔·萨默斯 Neil Summers,演员 Actor (饰 皮特 Pete),肖申克的救赎,我心狂野,一级谋杀
耐德·巴拉米 Ned Bellamy,演员 Actor (饰 守卫扬布拉德 Guard Youngblood),肖申克的救赎,被解救的姜戈,电锯惊魂
布赖恩·戴拉特 Brian Delate,演员 Actor (饰 守卫德金斯 Guard Dekins),肖申克的救赎,楚门的世界,欲望都市 第六季
唐·麦克马纳斯 Don McManus,演员 Actor (饰 守卫威利 Guard Wiley),肖申克的救赎,移动迷宫,汉尼拔
</肖申克的救赎>
<霸王别姬>
张国荣 Leslie Cheung,演员 Actor (饰 程蝶衣),霸王别姬,倩女幽魂,射雕英雄传之东成西就
张丰毅 Fengyi Zhang,演员 Actor (饰 段小楼),霸王别姬,人民的名义,如懿传
巩俐 Li Gong,演员 Actress (饰 菊仙),霸王别姬,唐伯虎点秋香,活着
葛优 You Ge,演员 Actor (饰 袁四爷),霸王别姬,让子弹飞,我和我的祖国
英达 Da Ying,演员 Actor (饰 那坤),霸王别姬,风声,甲方乙方
